WeatherCondition,TrafficCongestion,DistanceRemaining,Time_Taken_Hours
Fog,Medium,1148.5,61.51
Rain,High,841.1,52.13
Storm,Low,293.4,15.19
Rain,Jam,1486.9,127.15
Fog,Medium,1453.9,61.89
Rain,Jam,169.7,11.79
Clear,Medium,635.0,25.15
Rain,Jam,1142.7,84.74
Rain,Low,1477.3,58.63
Snow,Jam,253.6,29.88
Rain,Low,1476.3,59.67
Clear,Medium,128.0,4.57
Storm,Low,748.7,48.05
Snow,Medium,975.7,65.06
Clear,High,766.6,38.92
Rain,Medium,25.0,1.04
Clear,Jam,461.0,30.43
Snow,Low,1189.7,56.41
Rain,Jam,971.8,81.13
Snow,High,1206.8,90.97
Clear,Medium,925.7,32.73
Snow,Low,509.8,28.67
Fog,High,236.3,17.94
Rain,Low,196.3,6.4
Snow,Medium,1087.4,71.93
Fog,High,455.5,25.47
Snow,Medium,905.2,44.96
Rain,Low,1472.2,49.61
Snow,Low,1463.8,62.97
Clear,High,603.7,27.19
Snow,High,1058.9,78.51
Storm,Jam,1298.7,177.25
Snow,High,911.6,63.92
Fog,Low,1478.2,51.58
Rain,Low,1402.0,51.51
Storm,Low,825.1,48.82
Rain,Medium,308.0,12.69
Fog,Jam,289.1,24.16
Clear,High,1086.6,48.45
Storm,High,349.8,30.84
Rain,Jam,1376.0,99.3
Snow,High,693.4,58.21
Clear,High,1224.6,55.55
Snow,High,1344.2,114.88
Fog,High,941.3,67.68
Clear,Low,29.8,0.88
Rain,Jam,1213.8,118.84
Rain,High,396.2,26.53
Fog,Low,912.8,37.15
Fog,Jam,893.0,80.42
Snow,Medium,870.0,49.98
Rain,Low,8.4,0.36
Rain,Jam,369.2,26.84
Clear,High,989.2,40.14
Snow,Jam,602.3,72.95
Storm,Jam,849.1,131.01
Rain,High,1396.8,90.4
Clear,Low,305.5,9.09
Snow,Jam,702.6,70.85
Storm,Medium,163.1,11.24
Rain,High,1488.6,92.37
Storm,Low,341.2,18.98
Snow,Low,1091.3,55.48
Rain,Jam,1369.3,90.97
Fog,Medium,1091.6,54.04
Fog,Medium,394.2,19.97
Fog,Low,670.3,32.48
Clear,High,526.4,25.24
Snow,High,828.7,53.24
Storm,High,48.5,4.52
Clear,Low,1082.1,30.79
Storm,Jam,56.5,9.12
Clear,Low,791.8,27.15
Fog,Medium,589.2,29.43
Rain,Medium,1099.4,44.2
Fog,Jam,577.1,50.02
Fog,Low,346.4,14.52
Fog,High,454.6,29.15
Clear,High,513.9,26.52
Snow,High,1416.2,92.74
Rain,Jam,518.1,43.12
Rain,Medium,951.7,45.47
Clear,Medium,1076.2,39.06
Rain,Medium,67.9,3.6
Rain,Jam,333.4,30.68
Rain,Medium,999.1,45.35
Fog,Jam,503.5,49.99
Clear,High,329.2,15.7
Rain,High,1243.1,81.75
Fog,Jam,430.9,43.31
Storm,Low,1334.2,86.97
Clear,Medium,592.6,20.68
Rain,High,1140.7,63.25
Rain,High,827.7,56.41
Snow,High,131.6,8.69
Fog,High,1180.0,71.12
Clear,High,529.2,24.77
Clear,High,184.4,7.58
Clear,High,1394.3,64.21
Clear,Low,638.7,20.37
Fog,Low,1112.9,39.03
Storm,Jam,939.8,99.46
Storm,Medium,1081.5,81.06
Clear,High,1463.0,76.59
Clear,High,1490.6,58.3
Clear,Low,367.7,11.37
Rain,High,40.9,2.62
Fog,High,1118.7,78.23
Fog,Medium,465.6,20.14
Storm,Low,1397.3,86.99
Snow,Jam,1180.5,132.87
Snow,Medium,1136.4,74.31
Clear,Medium,319.1,11.63
Storm,High,247.5,27.15
Rain,Low,897.5,33.5
Snow,Jam,789.0,77.72
Fog,Jam,762.1,62.62
Rain,High,150.6,11.32
Storm,Medium,488.0,29.64
Fog,High,662.8,48.78
Fog,Medium,921.5,42.52
Snow,Low,197.3,9.92
Rain,Medium,793.2,40.66
Storm,Medium,625.6,42.0
Storm,High,666.2,55.76
Fog,High,1464.9,87.76
Rain,Jam,447.9,39.85
Clear,Medium,806.1,26.53
Clear,High,927.4,43.19
Clear,High,395.0,16.99
Rain,High,116.3,7.89
Clear,Low,637.7,21.65
Storm,Medium,267.6,17.49
Snow,Medium,83.0,4.19
Clear,High,486.5,25.82
Fog,Medium,943.0,45.64
Fog,Jam,358.3,24.86
Rain,High,818.0,49.72
Rain,Medium,1223.9,51.93
Storm,High,1263.5,147.56
Fog,Medium,1407.1,65.94
Storm,Medium,939.0,82.26
Snow,Medium,138.7,7.18
Fog,Jam,576.1,42.51
Rain,Medium,1092.4,43.78
Fog,Low,517.3,22.84
Clear,High,1300.8,48.39
Snow,Jam,415.2,45.21
Fog,Low,947.3,41.0
Storm,Medium,743.3,48.75
Snow,Jam,483.9,55.0
Rain,High,1074.0,74.9
Storm,Low,717.4,55.4
Snow,Medium,606.6,40.89
Clear,Low,1312.9,36.89
Snow,Medium,668.7,37.92
Rain,Low,1479.2,50.84
Clear,Jam,62.9,3.87
Rain,Jam,314.0,24.22
Clear,Medium,677.0,23.21
Storm,High,263.7,27.9
Clear,Medium,300.5,9.8
Fog,Jam,541.2,49.23
Fog,Medium,566.4,32.34
Clear,Medium,595.8,19.52
Snow,Jam,620.5,60.71
Snow,Medium,1103.2,61.04
Rain,Jam,396.5,30.39
Storm,Medium,290.9,21.97
Clear,Low,1001.6,26.03
Fog,Medium,678.6,33.22
Snow,High,1104.9,92.83
Clear,Low,1288.3,34.88
Storm,Jam,437.9,60.34
Storm,Medium,282.6,17.48
Clear,Jam,485.3,26.89
Rain,Low,326.7,14.9
Fog,Low,406.6,17.57
Rain,Jam,1048.5,66.08
Fog,Jam,1126.1,97.51
Clear,High,1306.3,61.38
Clear,High,1292.2,60.09
Fog,Medium,1045.6,51.18
Clear,High,272.2,12.06
Rain,High,1319.4,82.38
Fog,High,640.9,38.39
Snow,Jam,914.4,78.51
Storm,Medium,488.8,36.58
Snow,Jam,653.2,56.61
Snow,Low,1015.6,48.74
Rain,Low,387.5,14.23
Fog,Low,536.0,24.87
Rain,High,1328.0,87.37
Fog,High,64.6,4.79
Rain,Jam,854.0,69.18
Storm,Medium,1404.4,112.95
Fog,Low,483.1,21.41
Snow,Medium,209.2,12.3
Rain,Low,1394.1,48.86
Fog,Medium,1346.8,64.63
Rain,Jam,1194.8,97.38
Clear,High,747.5,27.2
Rain,Medium,590.3,26.76
Clear,Low,1208.9,32.53
Snow,Low,286.9,15.07
Snow,Medium,1001.2,60.46
Snow,Low,868.3,37.42
Rain,Low,324.3,13.51
Storm,Jam,200.7,26.91
Rain,Low,232.6,9.47
Snow,Low,589.8,32.48
Rain,Jam,566.8,52.43
Clear,High,555.5,22.45
Clear,Jam,1478.4,92.18
Storm,High,86.4,8.2
Storm,Jam,280.9,39.72
Rain,High,232.2,12.03
Clear,Medium,233.9,8.97
Rain,Jam,1060.1,83.22
Fog,Low,734.8,31.45
Rain,Low,595.7,24.69
Fog,High,710.5,52.16
Clear,Medium,1199.7,39.18
Snow,Low,925.2,42.72
Rain,High,452.2,28.88
Rain,Jam,1042.4,87.25
Clear,Medium,992.0,35.26
Snow,Low,66.5,3.26
Rain,Medium,775.6,34.9
Fog,High,1097.6,68.96
Fog,Medium,519.9,24.89
Clear,Low,1352.4,36.69
Storm,Low,1472.7,79.9
Fog,Low,812.5,38.26
Storm,Jam,1171.1,149.63
Snow,Jam,1493.2,168.75
Fog,High,169.8,12.09
Storm,High,1395.8,164.3
Snow,High,1160.0,92.62
Fog,Low,809.5,32.92
Storm,High,999.0,93.48
Clear,Jam,999.1,67.23
Storm,Medium,978.4,57.05
Snow,Jam,72.1,6.89
Storm,Low,66.0,4.4
Rain,Low,1292.3,44.92
Storm,Medium,991.2,84.15
Rain,High,635.7,39.89
Rain,Jam,1388.9,137.5
Rain,Low,1234.4,57.32
Fog,Low,198.8,6.94
Rain,High,825.8,47.43
Storm,Jam,443.2,76.46
Storm,Medium,1295.7,95.86
Fog,Low,1190.0,56.88
Rain,Medium,82.1,3.68
Fog,Medium,793.9,43.44
Rain,High,1450.5,101.74
Snow,Jam,62.3,6.46
Clear,High,1312.8,62.09
Snow,Medium,1179.6,66.27
Rain,Medium,1399.9,62.07
Storm,Low,64.7,3.99
Storm,Jam,1283.1,189.99
Rain,High,695.4,46.3
Snow,Low,797.0,38.56
Rain,Jam,786.9,67.23
Fog,Low,417.1,15.46
Fog,Medium,437.9,20.42
Rain,Low,1413.0,51.11
Fog,High,1029.8,60.37
Snow,High,1167.8,77.34
Snow,Jam,1131.1,145.66
Rain,Low,441.8,19.75
Snow,Medium,658.7,37.18
Rain,Jam,134.5,10.37
Storm,Low,566.1,40.71
Clear,High,1181.4,48.24
Rain,High,489.2,29.4
Fog,Medium,547.1,27.19
Rain,Low,355.4,14.96
Snow,Medium,646.2,44.14
Clear,Low,504.6,13.09
Snow,Medium,306.7,18.64
Clear,Jam,1441.0,88.99
Storm,Jam,558.7,73.99
Fog,High,1154.4,62.39
Storm,Medium,1195.3,85.36
Storm,High,985.7,94.54
Fog,Medium,1348.0,70.69
Storm,Medium,407.4,33.71
Fog,Jam,1494.1,136.64
Fog,Low,672.2,30.98
Rain,Low,697.1,22.07
Rain,High,568.2,35.05
Clear,Medium,596.2,22.84
Clear,Low,133.0,3.36
Fog,High,700.0,46.57
Clear,High,811.8,38.53
Rain,High,1434.9,87.97
Rain,Jam,46.4,3.87
Storm,Jam,751.5,100.42
Rain,High,1119.9,62.25
Snow,Jam,1114.3,124.83
Storm,Medium,1473.7,115.78
Rain,High,529.2,32.65
Storm,High,85.1,7.75
Clear,Jam,1155.9,64.85
Snow,Low,86.8,4.25
Snow,Low,1256.9,59.65
Snow,High,24.3,2.27
Rain,Jam,972.3,67.08
Storm,Medium,215.8,14.43
Clear,Medium,756.3,22.88
Snow,Low,354.1,18.9
Snow,Medium,251.9,13.43
Rain,High,872.7,52.72
Fog,Jam,62.8,5.16
Rain,Low,201.8,7.52
Fog,High,1468.9,94.14
Clear,High,1136.9,52.72
Clear,High,1306.5,66.61
Snow,Medium,1496.1,90.65
Clear,High,1353.0,66.86
Storm,High,673.6,67.16
Clear,Medium,401.2,15.57
Clear,Medium,1484.1,51.66
Fog,High,139.4,9.18
Rain,High,878.1,44.54
Storm,Low,464.8,27.54
Snow,Low,1214.1,68.19
Fog,Low,228.3,8.72
Rain,High,855.3,53.91
Storm,Medium,359.9,22.05
Rain,Low,533.1,23.88
Rain,Medium,136.4,6.52
Fog,Low,1425.1,52.58
Snow,Jam,1028.2,109.67
Storm,Jam,739.7,102.66
Snow,Low,1134.2,53.61
Snow,Low,1242.6,72.29
Rain,Low,1232.7,46.26
Fog,High,1176.6,82.26
Clear,Low,1441.8,37.94
Snow,Medium,978.7,64.0
Clear,High,586.0,26.85
Rain,Low,1141.7,44.04
Fog,Jam,1058.5,86.24
Storm,Jam,917.6,135.83
Clear,High,1209.7,61.3
Fog,High,1168.7,69.6
Clear,Low,899.4,22.69
Snow,Jam,1465.7,182.51
Rain,High,836.7,48.06
Snow,Jam,1312.6,122.34
Fog,Jam,837.5,72.97
Snow,Jam,58.4,6.1
Clear,High,978.4,47.59
Fog,Jam,38.6,3.21
Clear,High,1313.6,56.91
Snow,Jam,328.8,33.96
Storm,High,288.7,28.16
Clear,Low,1035.4,31.57
Rain,Medium,1033.9,55.13
Rain,Medium,1038.3,46.23
Fog,High,962.4,65.09
Fog,Low,12.8,0.48
Snow,Medium,735.3,45.04
Rain,High,1225.7,73.52
Snow,Low,361.1,19.96
Storm,Jam,1169.2,143.02
Snow,Medium,346.3,19.37
Clear,Low,802.4,23.69
Storm,Jam,681.0,76.15
Storm,Low,1124.5,53.48
Snow,High,1181.5,108.95
Fog,Jam,148.8,12.95
Snow,Jam,385.5,34.07
Rain,Jam,1467.3,100.65
Rain,Low,73.2,2.73
Storm,Low,664.2,47.91
Clear,Low,488.5,13.29
Fog,Jam,1419.2,119.95
Snow,Medium,1280.2,75.52
Snow,Low,313.0,13.72
Snow,Low,1177.6,65.69
Storm,Low,1004.3,63.44
Fog,Low,611.5,23.23
Fog,Low,309.5,11.09
Fog,Low,1105.6,41.52
Storm,Low,564.8,33.97
Fog,High,829.9,52.24
Clear,Medium,315.3,11.57
Clear,Jam,929.3,51.62
Rain,Medium,873.4,34.85
Fog,High,942.7,56.63
Clear,Medium,117.3,3.78
Clear,High,1351.8,51.97
Clear,Medium,708.6,25.82
Clear,Low,547.8,14.54
Fog,High,521.3,38.39
Fog,Low,154.4,5.57
Rain,Low,1379.9,51.65
Rain,Jam,130.0,12.47
Rain,High,1100.2,64.03
Fog,Low,1369.3,58.42
Fog,Medium,327.8,17.65
Snow,High,174.1,12.89
Snow,Low,1161.5,50.22
Fog,High,1338.2,85.28
Snow,Low,1125.8,61.44
Storm,Medium,801.1,65.02
Rain,Medium,505.0,20.5
Rain,Jam,1047.3,81.98
Fog,High,1448.5,81.02
Storm,High,1129.5,107.47
Fog,Jam,1372.6,126.49
Storm,Medium,110.7,7.72
Clear,Low,727.0,19.78
Snow,Low,935.2,50.46
Fog,Low,1205.3,50.35
Fog,Jam,84.6,8.52
Snow,Medium,476.1,31.61
Rain,Low,935.3,39.97
Clear,Jam,445.6,26.53
Rain,High,1081.5,72.19
Clear,Low,1310.7,38.33
Fog,High,1120.6,72.61
Fog,Low,1241.3,56.3
Snow,Jam,1239.3,149.08
Rain,Jam,424.9,35.86
Fog,Low,1214.9,55.68
Storm,Medium,533.1,43.59
Fog,Medium,1096.5,48.16
Storm,Medium,1028.7,82.4
Clear,Jam,201.1,13.58
Rain,Medium,1276.4,54.08
Snow,High,362.8,28.07
Clear,Jam,815.3,42.15
Fog,Jam,984.4,87.27
Clear,High,936.4,42.8
Snow,Low,680.5,32.07
Clear,High,1174.7,58.77
Snow,Medium,535.9,33.8
Rain,Jam,111.1,8.17
Clear,High,482.5,21.5
Storm,Low,230.7,16.07
Clear,Medium,1224.7,41.37
Fog,High,549.1,38.75
Clear,Low,1111.8,28.1
Clear,Low,300.5,8.59
Fog,Jam,1286.5,139.07
Storm,High,809.9,99.31
Snow,High,1272.5,97.43
Storm,Jam,1386.2,166.0
Snow,Jam,396.4,45.22
Clear,High,410.6,18.72
Rain,Low,328.1,12.1
Fog,Low,906.9,33.73
Snow,High,1260.4,88.89
Storm,Low,1147.1,76.49
Fog,Medium,1001.8,43.91
Clear,Jam,454.0,27.31
Clear,Jam,717.1,40.84
Rain,Low,734.4,25.33
Clear,Jam,350.1,25.66
Storm,High,1101.6,121.53
Rain,Low,793.3,28.59
Snow,Low,1095.7,51.61
Rain,Medium,732.9,29.32
Snow,Jam,834.9,83.73
Snow,High,948.7,73.03
Fog,Medium,276.3,15.55
Rain,Low,239.8,8.11
Storm,Jam,1113.2,142.44
Fog,Medium,1031.3,54.84
Clear,High,205.6,8.03
Fog,Medium,1361.6,74.09
Fog,Low,409.6,14.31
Fog,Jam,930.9,84.44
Rain,Medium,832.4,38.49
Snow,Low,96.1,4.22
Rain,Medium,1482.3,68.3
Storm,Medium,561.9,37.04
Snow,Jam,291.9,29.79
Snow,Jam,751.3,79.46
Snow,Jam,924.9,91.54
Rain,High,183.1,10.3
Rain,Jam,294.6,24.05
Clear,Medium,723.5,26.15
Clear,Medium,820.6,32.21
Fog,High,441.7,28.02
Fog,High,1237.3,79.34
Rain,Jam,126.4,10.33
Rain,High,419.1,26.51
Rain,Jam,1396.1,122.57
Fog,High,655.0,39.76
Snow,Jam,173.4,14.63
Snow,Jam,1306.5,128.29
Storm,Medium,1349.8,97.36
Rain,Jam,785.8,71.08
Clear,Jam,539.7,31.52
Storm,High,1249.4,114.51
Snow,Jam,1313.7,118.23
Snow,High,1092.6,101.39
Fog,Medium,1416.2,74.24
Rain,Medium,926.5,48.33
Fog,Low,1161.6,52.17
Snow,Jam,891.9,86.58
Rain,Jam,1446.7,114.32
Rain,Low,474.0,18.42
Clear,High,460.1,22.46
Storm,High,1073.3,98.53
Snow,High,1099.4,86.06
Fog,Low,24.9,0.93
Storm,High,149.1,15.22
Storm,Jam,1080.8,167.23
Snow,Low,1308.1,75.99
Clear,Jam,681.6,36.6
Storm,Jam,1219.1,125.68
Storm,High,832.0,106.32
Storm,Low,358.5,19.48
Fog,Low,1455.6,57.64
Clear,Jam,1144.3,79.83
Storm,High,931.3,73.26
Snow,High,212.4,13.54
Snow,Low,100.2,5.47
Clear,High,591.7,26.61
Rain,High,407.0,23.27
Rain,Medium,482.3,22.59
Snow,Low,1260.7,60.46
Storm,Medium,413.2,32.3
Snow,High,286.7,20.14
Fog,Medium,637.7,31.8
Snow,Low,252.4,12.12
Clear,Jam,1312.7,86.71
Storm,Low,1191.0,67.74
Storm,Low,1115.6,81.6
Rain,Jam,144.5,12.38
Rain,Low,751.1,29.36
Snow,High,366.3,28.04
Rain,Low,16.3,0.69
Clear,High,1079.3,50.3
Clear,Medium,854.2,30.82
Clear,Medium,1407.2,49.87
Rain,High,230.6,13.9
Clear,Jam,12.3,0.8
Snow,Low,1160.5,61.17
Snow,Medium,679.7,37.39
Snow,Jam,1236.6,132.05
Storm,Low,343.8,21.48
Storm,Low,765.2,47.11
Storm,Medium,1365.0,102.9
Snow,Medium,297.0,18.5
Fog,Low,118.2,4.23
Rain,Medium,803.3,38.74
Snow,Low,1004.0,56.8
Snow,Low,557.2,31.0
Fog,Low,662.2,28.0
Snow,Jam,987.1,129.85
Storm,Low,32.7,1.76
Storm,Low,466.0,26.59
Fog,Low,612.2,26.58
Fog,Medium,511.1,26.43
Storm,Jam,993.2,165.75
Snow,Medium,766.7,44.75
Storm,Medium,763.1,57.6
Storm,Jam,926.9,159.86
Rain,Medium,948.4,41.22
Fog,Low,957.5,41.97
Snow,High,86.4,5.66
Snow,Medium,394.8,23.93
Fog,Low,978.8,42.32
Clear,Low,856.6,23.7
Storm,Low,37.7,2.16
Rain,High,654.2,34.69
Snow,Jam,855.7,85.54
Rain,Medium,542.3,24.63
Clear,High,1111.9,57.59
Rain,Medium,1275.0,60.04
Fog,Low,588.2,25.03
Storm,Low,1455.4,103.23
Storm,High,45.0,5.5
Snow,Medium,505.9,26.12
Storm,High,673.6,60.91
Rain,Low,992.7,37.5
Rain,Jam,129.7,10.79
Snow,High,1065.8,86.11
Rain,High,357.6,19.41
Fog,Jam,1139.3,100.43
Fog,Medium,1356.1,68.62
Fog,Jam,269.5,22.87
Rain,Jam,1431.4,99.69
Snow,Medium,1403.3,97.58
Clear,Low,1456.7,39.11
Rain,Low,1362.9,54.83
Fog,Low,442.4,17.68
Fog,Medium,521.0,27.46
Storm,Jam,1286.8,202.18
Rain,Low,650.9,26.07
Snow,High,1334.0,118.86
Snow,Medium,980.6,60.21
Rain,Medium,130.8,6.08
Clear,Low,1473.4,37.58
Storm,Jam,696.4,86.98
Fog,High,44.9,2.81
Rain,High,1239.9,76.88
Rain,Medium,1392.9,63.39
Rain,Jam,1345.6,102.96
Snow,Jam,1328.6,170.93
Clear,High,200.0,9.24
Storm,Low,633.5,36.79
Storm,Jam,670.8,70.83
Fog,Medium,1265.3,59.34
Snow,Medium,511.1,25.08
Storm,Low,1308.9,94.51
Snow,Jam,1155.4,134.68
Fog,Medium,842.4,38.15
Fog,Low,729.5,31.01
Storm,Jam,1351.3,166.96
Snow,High,457.6,31.54
Fog,High,465.4,34.41
Clear,Low,1089.4,32.97
Clear,Low,1022.3,29.12
Storm,Jam,718.0,107.61
Snow,Jam,209.4,19.33
Fog,High,1355.1,96.03
Fog,Low,1393.9,55.74
Rain,Medium,601.2,29.76
Rain,Jam,1364.7,101.48
Storm,High,1152.3,129.78
Snow,Jam,1256.9,170.69
Fog,Medium,314.5,14.85
Storm,Medium,1312.2,100.48
Storm,Low,758.7,56.9
Clear,High,818.8,34.14
Snow,Medium,877.5,55.22
Clear,High,1213.0,56.97
Storm,Medium,33.1,2.17
Rain,High,655.7,39.62
Storm,High,1095.1,105.53
Snow,High,1361.2,136.89
Snow,Jam,583.5,53.2
Storm,High,1176.3,110.18
Rain,Medium,1403.6,73.73
Rain,Medium,426.6,17.27
Rain,Low,1494.7,47.72
Storm,Medium,435.6,28.61
Clear,Low,966.4,25.76
Storm,Medium,442.8,27.65
Snow,Low,827.2,45.77
Fog,High,903.0,63.57
Fog,High,1261.0,71.33
Fog,Medium,1325.6,64.74
Rain,Jam,1273.4,118.81
Storm,Medium,1239.9,108.47
Rain,Low,971.5,34.98
Snow,Medium,95.0,5.3
Clear,Jam,1446.0,105.33
Snow,Medium,132.9,7.67
Clear,Medium,653.8,23.67
Fog,High,293.6,19.99
Clear,Jam,1209.3,66.76
Fog,Jam,1218.3,97.92
Rain,High,738.2,50.21
Snow,Low,1240.6,63.28
Storm,Medium,106.8,9.26
Clear,Jam,552.3,30.25
Snow,High,332.5,30.2
Fog,Jam,1498.5,135.81
Clear,Low,1087.2,28.38
Fog,High,507.4,29.38
Snow,Medium,561.7,36.88
Snow,Jam,1359.2,135.31
Snow,Jam,1485.6,161.58
Rain,Jam,455.7,32.22
Fog,Jam,108.2,10.99
Snow,Jam,738.2,85.68
Storm,Low,1196.1,68.62
Snow,High,701.6,46.03
Clear,Low,66.2,2.05
Fog,Jam,923.9,82.62
Clear,Jam,242.8,17.9
Rain,Medium,1133.2,44.46
Clear,Low,279.2,7.68
Rain,Low,817.6,34.25
Storm,Medium,630.4,49.5
Clear,Medium,803.5,25.78
Rain,Jam,223.6,15.04
Rain,Medium,118.7,5.12
Fog,Jam,1048.3,94.15
Storm,Jam,197.0,33.21
Fog,Low,551.8,20.34
Rain,Jam,658.6,54.53
Storm,Low,1015.2,65.71
Rain,Medium,1367.8,56.53
Clear,Jam,1010.0,69.05
Storm,High,1361.7,129.33
Snow,High,1010.4,84.34
Snow,Medium,132.7,8.85
Fog,High,1329.8,94.64
Fog,Low,931.2,38.65
Clear,Jam,1030.0,67.99
Fog,Medium,578.0,33.06
Storm,High,1046.7,100.31
Storm,Low,470.5,36.63
Storm,Low,790.6,46.57
Fog,Jam,421.1,39.32
Clear,Low,921.6,23.88
Clear,Jam,105.9,7.73
Fog,Jam,246.5,21.83
Snow,High,632.2,41.21
Snow,Low,1259.2,66.18
Fog,Medium,1172.2,55.88
Storm,High,1171.5,93.05
Fog,Medium,694.5,38.09
Snow,High,670.0,51.88
Storm,High,1456.4,172.91
Fog,Jam,1443.2,127.09
Clear,Jam,873.6,44.51
Snow,Jam,305.8,37.97
Clear,Low,204.3,5.83
Clear,Medium,481.8,14.98
Rain,Jam,1129.4,91.63
Fog,Jam,689.2,60.8
Rain,Medium,1009.2,50.31
Fog,Jam,312.4,31.0
Snow,Jam,1232.8,129.07
Snow,Medium,513.9,32.45
Rain,Low,389.7,16.42
Clear,High,1407.3,67.52
Storm,Low,165.2,7.84
Snow,Low,430.1,22.2
Fog,Low,812.8,32.39
Clear,Medium,728.1,28.19
Storm,Jam,1478.8,162.1
Rain,High,1159.3,57.84
Storm,Medium,1403.3,100.87
Snow,Medium,89.8,5.44
Snow,Low,1080.7,51.16
Storm,Jam,464.6,59.29
Snow,High,1305.0,101.11
Snow,Medium,1489.5,74.82
Snow,High,575.0,42.23
Snow,High,1296.6,120.49
Rain,Jam,916.8,77.37
Rain,Medium,1012.0,44.51
Fog,Medium,344.9,19.19
Rain,Jam,46.9,3.6
Storm,Medium,1481.7,121.21
Clear,High,746.5,30.13
Clear,High,1363.1,62.18
Clear,Medium,577.4,20.53
Clear,Low,761.4,18.41
Snow,Low,153.8,6.83
Storm,High,1035.1,109.4
Rain,Low,1116.8,38.8
Snow,High,241.1,17.0
Rain,Low,914.3,36.59
Clear,Medium,1349.4,41.83
Clear,Low,767.8,21.9
Snow,Low,1305.0,68.44
Fog,High,501.8,29.32
Snow,High,7.5,0.69
Snow,Low,559.5,22.79
Storm,Jam,1164.1,169.46
Rain,Low,1083.6,41.31
Storm,Low,902.4,51.96
Storm,Jam,100.6,12.91
Clear,High,1362.6,65.63
Clear,Jam,137.9,9.06
Fog,Jam,255.4,21.27
Rain,High,294.8,16.95
Storm,Jam,1053.1,159.14
Clear,Low,673.3,20.38
Rain,High,1106.9,57.95
Rain,Medium,871.1,46.85
Rain,Low,1097.3,40.31
Fog,High,625.3,43.47
Rain,Low,1350.1,50.98
Clear,High,872.7,42.95
Storm,Jam,1190.5,184.88
Rain,Low,79.6,2.61
Snow,Low,1209.5,62.17
Clear,Medium,694.2,24.39
Snow,Low,190.4,7.83
Fog,Low,1092.5,50.62
Storm,High,1251.2,104.95
Snow,Medium,685.1,48.33
Snow,Low,94.9,4.93
Fog,Medium,935.5,44.96
Snow,Jam,1102.2,109.0
Clear,Medium,281.7,9.56
Clear,High,232.3,9.95
Storm,Medium,163.6,13.63
Clear,High,163.1,7.28
Storm,Jam,587.3,78.37
Rain,Jam,1329.0,102.87
Snow,Medium,1039.2,54.46
Storm,Jam,271.1,30.29
Rain,High,679.5,39.64
Clear,Low,1156.7,30.08
Clear,Low,74.7,2.25
Fog,Low,296.0,12.42
Rain,High,1014.6,60.82
Rain,Jam,815.3,81.12
Clear,Medium,837.2,32.37
Clear,Low,601.8,15.62
Rain,High,1007.9,66.11
Rain,High,266.4,15.23
Clear,Jam,426.6,26.37
Fog,Low,667.8,26.55
Storm,Medium,1254.0,96.81
Storm,Jam,420.8,47.52
Fog,Low,1449.3,53.8
Clear,Low,529.7,14.82
Storm,High,1121.4,113.57
Snow,Medium,1035.9,59.38
Storm,Jam,141.8,21.9
Rain,Jam,177.0,15.09
Fog,Low,1374.4,58.75
Snow,High,1456.9,119.73
Storm,Low,733.0,44.75
Fog,High,933.0,69.13
Snow,Low,12.5,0.74
Snow,Low,1313.8,62.17
Rain,High,914.0,60.06
Storm,Medium,281.1,22.97
Fog,Medium,530.1,26.87
Snow,Jam,1168.4,125.92
Fog,Medium,229.4,11.53
Clear,Jam,130.3,8.29
Rain,High,421.7,25.7
Storm,High,1022.5,90.02
Snow,Jam,809.7,84.22
Clear,Medium,1434.8,49.22
Storm,High,231.4,27.42
Clear,Medium,135.8,4.91
Storm,High,304.7,25.76
Snow,High,1406.6,119.7
Rain,Medium,738.3,28.56
Rain,Jam,214.1,16.48
Rain,Jam,155.0,11.37
Snow,Low,1123.1,51.78
Rain,Medium,19.5,0.94
Fog,Low,271.1,12.6
Storm,High,1234.8,128.13
Snow,Jam,578.5,54.57
Fog,Low,593.2,23.48
Fog,Low,405.9,19.04
Snow,Jam,752.3,80.32
Clear,High,491.4,22.1
Clear,High,456.4,24.04
Clear,High,271.0,13.0
Rain,Jam,112.5,9.78
Snow,Jam,1097.6,102.03
Rain,Jam,215.8,16.43
Fog,Medium,94.9,4.75
Storm,Medium,238.1,20.21
Rain,High,1334.1,78.91
Clear,Low,403.8,10.83
Fog,Low,205.9,8.85
Clear,Medium,1307.4,40.98
Fog,High,105.2,6.36
Rain,Jam,715.1,64.53
Rain,Low,1193.1,40.92
Snow,Jam,144.0,18.15
Storm,High,1438.2,154.43
Storm,Medium,1230.3,81.58
Storm,Low,1050.2,66.97
Snow,Medium,483.7,30.99
Fog,Low,263.9,10.99
Storm,Low,1382.4,70.08
Rain,High,1345.5,77.17
Fog,Jam,156.8,14.11
Rain,Low,273.2,12.26
Rain,Jam,1128.1,95.77
Snow,High,9.9,0.71
Storm,Low,617.1,38.26
Snow,High,289.4,22.89
Rain,Medium,1401.6,61.71
Storm,Medium,1134.4,83.83
Fog,Medium,986.8,50.93
Storm,Jam,144.0,23.17
Storm,Medium,99.6,7.72
Fog,Jam,537.4,47.06
Fog,Low,466.8,17.32
Fog,Medium,958.6,44.95
Storm,Low,1231.7,85.96
Fog,Medium,1499.2,74.82
Fog,Jam,855.0,73.51
Storm,Medium,775.7,52.37
Fog,Low,1043.3,48.7
Clear,Medium,125.3,5.04
Storm,Medium,1073.6,71.49
